Caplet Maturity (T2)	Caplet Vol
1	0.2981163502045118
1.5	0.3595747281576279
2	0.3950018124026607
2.5	0.4129053647593274
3	0.4194457932786158
3.5	0.4188474518237877
4	0.4139354149298957
4.5	0.4065636563746897
5	0.3979266351554555
5.5	0.3887780801749249
6	0.3795813745891327
6.5	0.3706112385525164
7	0.3620215100869856
7.5	0.3538897525642566
8	0.3462462727125534
8.5	0.3390927978669123
9	0.3324143773939736
9.5	0.3261868897068543
10	0.3203817231422745
10.5	0.3149686514005972
11	0.3099175618013489
11.5	0.3051994580733893
12	0.3007870067408421
12.5	0.2966547984263465
13	0.2927794331247062
13.5	0.2891394989097015
14	0.2857154883478252
14.5	0.2824896808178101
15	0.2794460086271942
15.5	0.276569918169903
16	0.2738482330581212
16.5	0.271269023354513
17	0.2688214832002683
17.5	0.2664958179445198
18	0.2642831411148963
18.5	0.2621753810860306
19	0.2601651970093076
19.5	0.2582459034004555
20	0.256411402699382
20.5	0.2546561250900296
21	0.2529749748771098
21.5	0.2513632827477508
22	0.249816763290019
22.5	0.2483314771906409
23	0.2469037975868024
23.5	0.2455303800989291
24	0.2442081361211042
24.5	0.2429342089922805
25	0.2417059527141633
25.5	0.2405209129204172
26	0.239376809836696
26.5	0.2382715230021013
27	0.2372030775502689
27.5	0.2361696318726731
28	0.2351694665082097
28.5	0.2342009741219818
29	0.2332626504527576
29.5	0.2323530861230476
30	0.2314709592184279
