V5 CDS Composites by Convention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
30-Jun-16,BACR-Bank,Barclays Bk plc,06DABK,SNRFOR,EUR,MM14,Composite,0.0081,0.0085,0.0099,0.0112,0.0126,0.014,0.0158,0.0169,0.0174,0.0174,0.0173,40.06%,BB,BB,BB,A,A,A,A,A,A,A,A,BBB,7,Financials,Europe,United Kingdom,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,BACR-Bank,Barclays Bk plc,06DABK,SUBLT2,EUR,MM14,Composite,0.0137,0.0157,0.0188,0.0216,0.0242,0.0267,0.0289,0.0303,0.0305,0.0306,0.0308,20%,BB,BB,BB,BB,BB,BB,BB,BB,B,B,BB,BB,7,Financials,Europe,United Kingdom,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,BARBAD,Barbados,PTCGEA,SNRFOR,USD,CR14,Composite,0.053,0.0579,0.0603,0.0616,0.0621,0.0627,0.062,0.0608,0.0597,0.0596,0.0595,25%,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,Government,Caribbean,Barbados,,B,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
30-Jun-16,BBVSM,Bco Bilbao Vizcaya Argentaria S A,EF2985,SNRFOR,EUR,MM14,Composite,0.0066,0.0077,0.0099,0.012,0.0139,0.0158,0.0182,0.0195,0.02,0.02,0.0199,40.10%,A,A,A,A,A,A,A,A,B,B,BB,BBB,7,Financials,Europe,Spain,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,BBVSM,Bco Bilbao Vizcaya Argentaria S A,EF2985,SUBLT2,EUR,MM14,Composite,0.0165,0.0184,0.022,0.0252,0.0282,0.0311,0.0334,0.0348,0.0363,0.0362,0.0362,20%,BB,BB,BB,BB,BB,BB,BB,BB,B,B,BB,BB,8,Financials,Europe,Spain,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,BELG,Kdom Belgium,BC236K,SNRFOR,USD,CR14,Composite,0.0015,0.0017,0.0026,0.0034,0.0045,0.0055,0.0074,0.0095,0.01,0.0101,0.0103,40%,A,A,A,AA,AA,AA,AA,A,BBB,BBB,BBB,A,5,Government,Europe,Belgium,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,BGARIA,Rep Bulgaria,1D216P,SNRFOR,USD,CR14,Composite,0.0043,0.0054,0.0079,0.0106,0.013,0.0155,0.0182,0.02,,0.0217,0.0222,25%,B,B,B,BBB,A,A,A,A,,NR,NR,BBB,4,Government,E.Eur,Bulgaria,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,,Thin,Thin,Entity Tier
30-Jun-16,BHREIN,Kdom Bahrain,MS9996,SNRFOR,USD,CR14,Composite,0.0223,0.0244,0.0288,0.0327,0.0358,0.0388,0.0407,0.0423,0.0426,0.0426,0.0423,25%,B,B,BBB,BBB,BBB,A,NR,NR,NR,NR,NR,BB,3,Government,MiddleEast,Bahrain,,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Thin,Thin,Entity Tier
30-Jun-16,BNP,BNP Paribas,05ABBF,SNRFOR,EUR,MM14,Composite,0.0044,0.0048,0.006,0.0071,0.0082,0.0094,0.0114,0.0126,0.0142,0.0143,0.0142,40%,BB,A,A,A,A,A,A,A,NR,NR,B,A,6,Financials,Europe,France,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,CcyGrp,Entity Tier
30-Jun-16,BNP,BNP Paribas,05ABBF,SUBLT2,EUR,MM14,Composite,0.0109,0.0112,0.0134,0.0156,0.0175,0.0195,0.0217,0.0228,0.0232,0.0235,0.0235,20%,BB,BB,BB,BB,BB,BB,BB,BB,B,B,BB,BB,7,Financials,Europe,France,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
